DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,QC Level,# ToxCast Active,Total Assays,% ToxCast Active
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2064816,Sodium amide (Na(NH2)),7782-92-5,ODZPKZBBUMBTMG-UHFFFAOYSA-N,Sodium azanide,N[Na],"InChI=1S/H2N.Na/h1H2;/q-1;+1
",H2NNa,39.013,39.008493,2, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3020203,"1,3-Butadiene",106-99-0,KAKZBPTYRLMSJV-UHFFFAOYSA-N,"Buta-1,3-diene",C=CC=C,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2
",C4H6,54.092,54.046950,1, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4021890,Isopropyl ether,108-20-3,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,2-[(Propan-2-yl)oxy]propane,CC(C)OC(C)C,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3
",C6H14O,102.177,102.104465,1,0/234,234,0
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4047751,Nitrocellulose,9004-70-0,,,,,,, ,1, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4066177,Potassium amide,17242-52-3,FEMRXDWBWXQOGV-UHFFFAOYSA-N,Potassium azanide,N[K],"InChI=1S/K.H2N/h;1H2/q+1;-1
",H2KN,55.121,54.982431,2, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020316,Chloroprene,126-99-8,YACLQRRMGMJLJV-UHFFFAOYSA-N,"2-Chlorobuta-1,3-diene",ClC(=C)C=C,"InChI=1S/C4H5Cl/c1-3-4(2)5/h3H,1-2H2
",C4H5Cl,88.53,88.007978,1, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6021325,Tetrafluoroethylene,116-14-3,BFKJFAAPBSQJPD-UHFFFAOYSA-N,Tetrafluoroethene,FC(F)=C(F)F,"InChI=1S/C2F4/c3-1(4)2(5)6
",C2F4,100.016,99.993613,1, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID70231561,Divinylacetylene,821-08-9,AUBDSFLQOBEOPX-UHFFFAOYSA-N,"Hexa-1,5-dien-3-yne",C=CC#CC=C,"InChI=1S/C6H6/c1-3-5-6-4-2/h3-4H,1-2H2
",C6H6,78.114,78.046950,2, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8021438,"1,1-Dichloroethylene",75-35-4,LGXVIGDEPROXKC-UHFFFAOYSA-N,"1,1-Dichloroethene",ClC(Cl)=C,"InChI=1S/C2H2Cl2/c1-2(3)4/h1H2
",C2H2Cl2,96.94,95.953356,1,1/318,318,0
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9049748,Potassium,7440-09-7,ZLMJMSJWJFRBEC-UHFFFAOYSA-N,Potassium,[K],"InChI=1S/K
",K,39.0983,38.963706,1, 